Sample in Buffer,Sample in Window,TRIGGER,pcie/design_1_i/myip_0_slv_reg0[31:0],pcie/design_1_i/myip_0_slv_reg1[31:0],pcie/design_1_i/to_slv_reg2_0_1[31:0],pcie/design_1_i/to_slv_reg3_0_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,0,00050005,00000001,00010001,00000050
1,1,0,00050005,00000001,00010001,00000050
2,2,0,00050005,00000001,00010001,00000050
3,3,0,00050005,00000001,00010001,00000050
4,4,0,00050005,00000001,00010001,00000050
5,5,0,00050005,00000001,00010001,00000050
6,6,0,00050005,00000001,00010001,00000050
7,7,0,00050005,00000001,00010001,00000050
8,8,0,00050005,00000001,00010001,00000050
9,9,0,00050005,00000001,00010001,00000050
10,10,0,00050005,00000001,00010001,00000050
11,11,0,00050005,00000001,00010001,00000050
12,12,0,00050005,00000001,00010001,00000050
13,13,0,00050005,00000001,00010001,00000050
14,14,0,00050005,00000001,00010001,00000050
15,15,0,00050005,00000001,00010001,00000050
16,16,0,00050005,00000001,00010001,00000050
17,17,0,00050005,00000001,00010001,00000050
18,18,0,00050005,00000001,00010001,00000050
19,19,0,00050005,00000001,00010001,00000050
20,20,0,00050005,00000001,00010001,00000050
21,21,0,00050005,00000001,00010001,00000050
22,22,0,00050005,00000001,00010001,00000050
23,23,0,00050005,00000001,00010001,00000050
24,24,0,00050005,00000001,00010001,00000050
25,25,0,00050005,00000001,00010001,00000050
26,26,0,00050005,00000001,00010001,00000050
27,27,0,00050005,00000001,00010001,00000050
28,28,0,00050005,00000001,00010001,00000050
29,29,0,00050005,00000001,00010001,00000050
30,30,0,00050005,00000001,00010001,00000050
31,31,0,00050005,00000001,00010001,00000050
32,32,0,00050005,00000001,00010001,00000050
33,33,0,00050005,00000001,00010001,00000050
34,34,0,00050005,00000001,00010001,00000050
35,35,0,00050005,00000001,00010001,00000050
36,36,0,00050005,00000001,00010001,00000050
37,37,0,00050005,00000001,00010001,00000050
38,38,0,00050005,00000001,00010001,00000050
39,39,0,00050005,00000001,00010001,00000050
40,40,0,00050005,00000001,00010001,00000050
41,41,0,00050005,00000001,00010001,00000050
42,42,0,00050005,00000001,00010001,00000050
43,43,0,00050005,00000001,00010001,00000050
44,44,0,00050005,00000001,00010001,00000050
45,45,0,00050005,00000001,00010001,00000050
46,46,0,00050005,00000001,00010001,00000050
47,47,0,00050005,00000001,00010001,00000050
48,48,0,00050005,00000001,00010001,00000050
49,49,0,00050005,00000001,00010001,00000050
50,50,0,00050005,00000001,00010001,00000050
51,51,0,00050005,00000001,00010001,00000050
52,52,0,00050005,00000001,00010001,00000050
53,53,0,00050005,00000001,00010001,00000050
54,54,0,00050005,00000001,00010001,00000050
55,55,0,00050005,00000001,00010001,00000050
56,56,0,00050005,00000001,00010001,00000050
57,57,0,00050005,00000001,00010001,00000050
58,58,0,00050005,00000001,00010001,00000050
59,59,0,00050005,00000001,00010001,00000050
60,60,0,00050005,00000001,00010001,00000050
61,61,0,00050005,00000001,00010001,00000050
62,62,0,00050005,00000001,00010001,00000050
63,63,0,00050005,00000001,00010001,00000050
