Sample in Buffer,Sample in Window,TRIGGER,pcie/design_1_i/myip_0_slv_reg0[31:0],pcie/design_1_i/myip_0_slv_reg1[31:0],pcie/design_1_i/to_slv_reg2_0_1[31:0],pcie/design_1_i/to_slv_reg3_0_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,0,ffffffff,00000002,00010001,00000008
1,1,0,ffffffff,00000002,00010001,00000008
2,2,0,ffffffff,00000002,00010001,00000008
3,3,0,ffffffff,00000002,00010001,00000008
4,4,0,ffffffff,00000002,00010001,00000008
5,5,0,ffffffff,00000002,00010001,00000008
6,6,0,ffffffff,00000002,00010001,00000008
7,7,0,ffffffff,00000002,00010001,00000008
8,8,0,ffffffff,00000002,00010001,00000008
9,9,0,ffffffff,00000002,00010001,00000008
10,10,0,ffffffff,00000002,00010001,00000008
11,11,0,ffffffff,00000002,00010001,00000008
12,12,0,ffffffff,00000002,00010001,00000008
13,13,0,ffffffff,00000002,00010001,00000008
14,14,0,ffffffff,00000002,00010001,00000008
15,15,0,ffffffff,00000002,00010001,00000008
16,16,0,ffffffff,00000002,00010001,00000008
17,17,0,ffffffff,00000002,00010001,00000008
18,18,0,ffffffff,00000002,00010001,00000008
19,19,0,ffffffff,00000002,00010001,00000008
20,20,0,ffffffff,00000002,00010001,00000008
21,21,0,ffffffff,00000002,00010001,00000008
22,22,0,ffffffff,00000002,00010001,00000008
23,23,0,ffffffff,00000002,00010001,00000008
24,24,0,ffffffff,00000002,00010001,00000008
25,25,0,ffffffff,00000002,00010001,00000008
26,26,0,ffffffff,00000002,00010001,00000008
27,27,0,ffffffff,00000002,00010001,00000008
28,28,0,ffffffff,00000002,00010001,00000008
29,29,0,ffffffff,00000002,00010001,00000008
30,30,0,ffffffff,00000002,00010001,00000008
31,31,0,ffffffff,00000002,00010001,00000008
32,32,0,ffffffff,00000002,00010001,00000008
33,33,0,ffffffff,00000002,00010001,00000008
34,34,0,ffffffff,00000002,00010001,00000008
35,35,0,ffffffff,00000002,00010001,00000008
36,36,0,ffffffff,00000002,00010001,00000008
37,37,0,ffffffff,00000002,00010001,00000008
38,38,0,ffffffff,00000002,00010001,00000008
39,39,0,ffffffff,00000002,00010001,00000008
40,40,0,ffffffff,00000002,00010001,00000008
41,41,0,ffffffff,00000002,00010001,00000008
42,42,0,ffffffff,00000002,00010001,00000008
43,43,0,ffffffff,00000002,00010001,00000008
44,44,0,ffffffff,00000002,00010001,00000008
45,45,0,ffffffff,00000002,00010001,00000008
46,46,0,ffffffff,00000002,00010001,00000008
47,47,0,ffffffff,00000002,00010001,00000008
48,48,0,ffffffff,00000002,00010001,00000008
49,49,0,ffffffff,00000002,00010001,00000008
50,50,0,ffffffff,00000002,00010001,00000008
51,51,0,ffffffff,00000002,00010001,00000008
52,52,0,ffffffff,00000002,00010001,00000008
53,53,0,ffffffff,00000002,00010001,00000008
54,54,0,ffffffff,00000002,00010001,00000008
55,55,0,ffffffff,00000002,00010001,00000008
56,56,0,ffffffff,00000002,00010001,00000008
57,57,0,ffffffff,00000002,00010001,00000008
58,58,0,ffffffff,00000002,00010001,00000008
59,59,0,ffffffff,00000002,00010001,00000008
60,60,0,ffffffff,00000002,00010001,00000008
61,61,0,ffffffff,00000002,00010001,00000008
62,62,0,ffffffff,00000002,00010001,00000008
63,63,0,ffffffff,00000002,00010001,00000008
64,64,0,ffffffff,00000002,00010001,00000008
65,65,0,ffffffff,00000002,00010001,00000008
66,66,0,ffffffff,00000002,00010001,00000008
67,67,0,ffffffff,00000002,00010001,00000008
68,68,0,ffffffff,00000002,00010001,00000008
69,69,0,ffffffff,00000002,00010001,00000008
70,70,0,ffffffff,00000002,00010001,00000008
71,71,0,ffffffff,00000002,00010001,00000008
72,72,0,ffffffff,00000002,00010001,00000008
73,73,0,ffffffff,00000002,00010001,00000008
74,74,0,ffffffff,00000002,00010001,00000008
75,75,0,ffffffff,00000002,00010001,00000008
76,76,0,ffffffff,00000002,00010001,00000008
77,77,0,ffffffff,00000002,00010001,00000008
78,78,0,ffffffff,00000002,00010001,00000008
79,79,0,ffffffff,00000002,00010001,00000008
80,80,0,ffffffff,00000002,00010001,00000008
81,81,0,ffffffff,00000002,00010001,00000008
82,82,0,ffffffff,00000002,00010001,00000008
83,83,0,ffffffff,00000002,00010001,00000008
84,84,0,ffffffff,00000002,00010001,00000008
85,85,0,ffffffff,00000002,00010001,00000008
86,86,0,ffffffff,00000002,00010001,00000008
87,87,0,ffffffff,00000002,00010001,00000008
88,88,0,ffffffff,00000002,00010001,00000008
89,89,0,ffffffff,00000002,00010001,00000008
90,90,0,ffffffff,00000002,00010001,00000008
91,91,0,ffffffff,00000002,00010001,00000008
92,92,0,ffffffff,00000002,00010001,00000008
93,93,0,ffffffff,00000002,00010001,00000008
94,94,0,ffffffff,00000002,00010001,00000008
95,95,0,ffffffff,00000002,00010001,00000008
96,96,0,ffffffff,00000002,00010001,00000008
97,97,0,ffffffff,00000002,00010001,00000008
98,98,0,ffffffff,00000002,00010001,00000008
99,99,0,ffffffff,00000002,00010001,00000008
100,100,0,ffffffff,00000002,00010001,00000008
101,101,0,ffffffff,00000002,00010001,00000008
102,102,0,ffffffff,00000002,00010001,00000008
103,103,0,ffffffff,00000002,00010001,00000008
104,104,0,ffffffff,00000002,00010001,00000008
105,105,0,ffffffff,00000002,00010001,00000008
106,106,0,ffffffff,00000002,00010001,00000008
107,107,0,ffffffff,00000002,00010001,00000008
108,108,0,ffffffff,00000002,00010001,00000008
109,109,0,ffffffff,00000002,00010001,00000008
110,110,0,ffffffff,00000002,00010001,00000008
111,111,0,ffffffff,00000002,00010001,00000008
112,112,0,ffffffff,00000002,00010001,00000008
113,113,0,ffffffff,00000002,00010001,00000008
114,114,0,ffffffff,00000002,00010001,00000008
115,115,0,ffffffff,00000002,00010001,00000008
116,116,0,ffffffff,00000002,00010001,00000008
117,117,0,ffffffff,00000002,00010001,00000008
118,118,0,ffffffff,00000002,00010001,00000008
119,119,0,ffffffff,00000002,00010001,00000008
120,120,0,ffffffff,00000002,00010001,00000008
121,121,0,ffffffff,00000002,00010001,00000008
122,122,0,ffffffff,00000002,00010001,00000008
123,123,0,ffffffff,00000002,00010001,00000008
124,124,0,ffffffff,00000002,00010001,00000008
125,125,0,ffffffff,00000002,00010001,00000008
126,126,0,ffffffff,00000002,00010001,00000008
127,127,0,ffffffff,00000002,00010001,00000008
128,128,0,ffffffff,00000002,00010001,00000008
129,129,0,ffffffff,00000002,00010001,00000008
130,130,0,ffffffff,00000002,00010001,00000008
