Sample in Buffer,Sample in Window,TRIGGER,pcie/design_1_i/myip_0_slv_reg0[31:0],pcie/design_1_i/myip_0_slv_reg1[31:0],pcie/design_1_i/to_slv_reg2_0_1[31:0],pcie/design_1_i/to_slv_reg3_0_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
137,137,0,00000003,00000000,00010001,00000150
138,138,0,00000003,00000000,00010001,00000150
139,139,0,00000003,00000000,00010001,00000150
140,140,0,00000003,00000000,00010001,00000150
141,141,0,00000003,00000000,00010001,00000150
142,142,0,00000003,00000000,00010001,00000150
143,143,0,00000003,00000000,00010001,00000150
144,144,0,00000003,00000000,00010001,00000150
145,145,0,00000003,00000000,00010001,00000150
146,146,0,00000003,00000000,00010001,00000150
147,147,0,00000003,00000000,00010001,00000150
148,148,0,00000003,00000000,00010001,00000150
149,149,0,00000003,00000000,00010001,00000150
150,150,0,00000003,00000000,00010001,00000150
151,151,0,00000003,00000000,00010001,00000150
152,152,0,00000003,00000000,00010001,00000150
153,153,0,00000003,00000000,00010001,00000150
154,154,0,00000003,00000000,00010001,00000150
155,155,0,00000003,00000000,00010001,00000150
156,156,0,00000003,00000000,00010001,00000150
157,157,0,00000003,00000000,00010001,00000150
158,158,0,00000003,00000000,00010001,00000150
159,159,0,00000003,00000000,00010001,00000150
160,160,0,00000003,00000000,00010001,00000150
161,161,0,00000003,00000000,00010001,00000150
162,162,0,00000003,00000000,00010001,00000150
163,163,0,00000003,00000000,00010001,00000150
164,164,0,00000003,00000000,00010001,00000150
165,165,0,00000003,00000000,00010001,00000150
166,166,0,00000003,00000000,00010001,00000150
167,167,0,00000003,00000000,00010001,00000150
168,168,0,00000003,00000000,00010001,00000150
169,169,0,00000003,00000000,00010001,00000150
170,170,0,00000003,00000000,00010001,00000150
171,171,0,00000003,00000000,00010001,00000150
172,172,0,00000003,00000000,00010001,00000150
173,173,0,00000003,00000000,00010001,00000150
174,174,0,00000003,00000000,00010001,00000150
175,175,0,00000003,00000000,00010001,00000150
176,176,0,00000003,00000000,00010001,00000150
177,177,0,00000003,00000000,00010001,00000150
178,178,0,00000003,00000000,00010001,00000150
179,179,0,00000003,00000000,00010001,00000150
180,180,0,00000003,00000000,00010001,00000150
181,181,0,00000003,00000000,00010001,00000150
182,182,0,00000003,00000000,00010001,00000150
183,183,0,00000003,00000000,00010001,00000150
184,184,0,00000003,00000000,00010001,00000150
185,185,0,00000003,00000000,00010001,00000150
186,186,0,00000003,00000000,00010001,00000150
187,187,0,00000003,00000000,00010001,00000150
188,188,0,00000003,00000000,00010001,00000150
189,189,0,00000003,00000000,00010001,00000150
190,190,0,00000003,00000000,00010001,00000150
191,191,0,00000003,00000000,00010001,00000150
192,192,0,00000003,00000000,00010001,00000150
193,193,0,00000003,00000000,00010001,00000150
194,194,0,00000003,00000000,00010001,00000150
195,195,0,00000003,00000000,00010001,00000150
196,196,0,00000003,00000000,00010001,00000150
197,197,0,00000003,00000000,00010001,00000150
198,198,0,00000003,00000000,00010001,00000150
199,199,0,00000003,00000000,00010001,00000150
200,200,0,00000003,00000000,00010001,00000150
201,201,0,00000003,00000000,00010001,00000150
202,202,0,00000003,00000000,00010001,00000150
203,203,0,00000003,00000000,00010001,00000150
204,204,0,00000003,00000000,00010001,00000150
205,205,0,00000003,00000000,00010001,00000150
206,206,0,00000003,00000000,00010001,00000150
207,207,0,00000003,00000000,00010001,00000150
208,208,0,00000003,00000000,00010001,00000150
209,209,0,00000003,00000000,00010001,00000150
210,210,0,00000003,00000000,00010001,00000150
211,211,0,00000003,00000000,00010001,00000150
212,212,0,00000003,00000000,00010001,00000150
213,213,0,00000003,00000000,00010001,00000150
214,214,0,00000003,00000000,00010001,00000150
215,215,0,00000003,00000000,00010001,00000150
216,216,0,00000003,00000000,00010001,00000150
217,217,0,00000003,00000000,00010001,00000150
218,218,0,00000003,00000000,00010001,00000150
219,219,0,00000003,00000000,00010001,00000150
220,220,0,00000003,00000000,00010001,00000150
221,221,0,00000003,00000000,00010001,00000150
222,222,0,00000003,00000000,00010001,00000150
223,223,0,00000003,00000000,00010001,00000150
224,224,0,00000003,00000000,00010001,00000150
225,225,0,00000003,00000000,00010001,00000150
226,226,0,00000003,00000000,00010001,00000150
227,227,0,00000003,00000000,00010001,00000150
228,228,0,00000003,00000000,00010001,00000150
229,229,0,00000003,00000000,00010001,00000150
230,230,0,00000003,00000000,00010001,00000150
231,231,0,00000003,00000000,00010001,00000150
232,232,0,00000003,00000000,00010001,00000150
233,233,0,00000003,00000000,00010001,00000150
234,234,0,00000003,00000000,00010001,00000150
235,235,0,00000003,00000000,00010001,00000150
236,236,0,00000003,00000000,00010001,00000150
237,237,0,00000003,00000000,00010001,00000150
238,238,0,00000003,00000000,00010001,00000150
239,239,0,00000003,00000000,00010001,00000150
240,240,0,00000003,00000000,00010001,00000150
241,241,0,00000003,00000000,00010001,00000150
242,242,0,00000003,00000000,00010001,00000150
243,243,0,00000003,00000000,00010001,00000150
244,244,0,00000003,00000000,00010001,00000150
245,245,0,00000003,00000000,00010001,00000150
246,246,0,00000003,00000000,00010001,00000150
247,247,0,00000003,00000000,00010001,00000150
248,248,0,00000003,00000000,00010001,00000150
249,249,0,00000003,00000000,00010001,00000150
250,250,0,00000003,00000000,00010001,00000150
251,251,0,00000003,00000000,00010001,00000150
252,252,0,00000003,00000000,00010001,00000150
253,253,0,00000003,00000000,00010001,00000150
254,254,0,00000003,00000000,00010001,00000150
255,255,0,00000003,00000000,00010001,00000150
256,256,0,00000003,00000000,00010001,00000150
257,257,0,00000003,00000000,00010001,00000150
258,258,0,00000003,00000000,00010001,00000150
259,259,0,00000003,00000000,00010001,00000150
260,260,0,00000003,00000000,00010001,00000150
261,261,0,00000003,00000000,00010001,00000150
262,262,0,00000003,00000000,00010001,00000150
263,263,0,00000003,00000000,00010001,00000150
264,264,0,00000003,00000000,00010001,00000150
265,265,0,00000003,00000000,00010001,00000150
266,266,0,00000003,00000000,00010001,00000150
267,267,0,00000003,00000000,00010001,00000150
268,268,0,00000003,00000000,00010001,00000150
269,269,0,00000003,00000000,00010001,00000150
270,270,0,00000003,00000000,00010001,00000150
271,271,0,00000003,00000000,00010001,00000150
272,272,0,00000003,00000000,00010001,00000150
273,273,0,00000003,00000000,00010001,00000150
274,274,0,00000003,00000000,00010001,00000150
275,275,0,00000003,00000000,00010001,00000150
276,276,0,00000003,00000000,00010001,00000150
277,277,0,00000003,00000000,00010001,00000150
278,278,0,00000003,00000000,00010001,00000150
279,279,0,00000003,00000000,00010001,00000150
280,280,0,00000003,00000000,00010001,00000150
281,281,0,00000003,00000000,00010001,00000150
282,282,0,00000003,00000000,00010001,00000150
283,283,0,00000003,00000000,00010001,00000150
284,284,0,00000003,00000000,00010001,00000150
285,285,0,00000003,00000000,00010001,00000150
286,286,0,00000003,00000000,00010001,00000150
287,287,0,00000003,00000000,00010001,00000150
288,288,0,00000003,00000000,00010001,00000150
289,289,0,00000003,00000000,00010001,00000150
290,290,0,00000003,00000000,00010001,00000150
291,291,0,00000003,00000000,00010001,00000150
292,292,0,00000003,00000000,00010001,00000150
293,293,0,00000003,00000000,00010001,00000150
294,294,0,00000003,00000000,00010001,00000150
295,295,0,00000003,00000000,00010001,00000150
296,296,0,00000003,00000000,00010001,00000150
297,297,0,00000003,00000000,00010001,00000150
298,298,0,00000003,00000000,00010001,00000150
299,299,0,00000003,00000000,00010001,00000150
300,300,0,00000003,00000000,00010001,00000150
301,301,0,00000003,00000000,00010001,00000150
302,302,0,00000003,00000000,00010001,00000150
303,303,0,00000003,00000000,00010001,00000150
304,304,0,00000003,00000000,00010001,00000150
305,305,0,00000003,00000000,00010001,00000150
306,306,0,00000003,00000000,00010001,00000150
307,307,0,00000003,00000000,00010001,00000150
308,308,0,00000003,00000000,00010001,00000150
309,309,0,00000003,00000000,00010001,00000150
310,310,0,00000003,00000000,00010001,00000150
311,311,0,00000003,00000000,00010001,00000150
312,312,0,00000003,00000000,00010001,00000150
313,313,0,00000003,00000000,00010001,00000150
314,314,0,00000003,00000000,00010001,00000150
315,315,0,00000003,00000000,00010001,00000150
316,316,0,00000003,00000000,00010001,00000150
317,317,0,00000003,00000000,00010001,00000150
318,318,0,00000003,00000000,00010001,00000150
319,319,0,00000003,00000000,00010001,00000150
320,320,0,00000003,00000000,00010001,00000150
321,321,0,00000003,00000000,00010001,00000150
322,322,0,00000003,00000000,00010001,00000150
323,323,0,00000003,00000000,00010001,00000150
324,324,0,00000003,00000000,00010001,00000150
325,325,0,00000003,00000000,00010001,00000150
326,326,0,00000003,00000000,00010001,00000150
327,327,0,00000003,00000000,00010001,00000150
328,328,0,00000003,00000000,00010001,00000150
329,329,0,00000003,00000000,00010001,00000150
330,330,0,00000003,00000000,00010001,00000150
331,331,0,00000003,00000000,00010001,00000150
